"OldName","NewName","Title","Type"
"Бюджетный кодекс Российской Федерации  от 31_07_1998 N 145-.xml","byudzhetnyi-kodeks-rossiiskoi-federatsii-ot-31-07-1998-n-145-fz-red-ot-26-06-2026-s-izm-i-dop-vstup-v-silu-s-01-07-2026--124297b4.xml","Бюджетный кодекс Российской Федерации"" от 31.07.1998 N 145-ФЗ (ред. от 26.06.2026) (с изм. и доп., вступ. в силу с 01.07.2026)","code"
"Земельный кодекс Российской Федерации  от 25_10_2001 N 136-.xml","zemelnyi-kodeks-rossiiskoi-federatsii-ot-25-10-2001-n-136-fz-red-ot-02-05-2026-s-izm-i-dop-vstup-v-silu-s-01-07-2026--77238147.xml","Земельный кодекс Российской Федерации"" от 25.10.2001 N 136-ФЗ (ред. от 02.05.2026) (с изм. и доп., вступ. в силу с 01.07.2026)","code"
"Кодекс Российской Федерации об административных правонаруше.xml","kodeks-rossiiskoi-federatsii-ob-administrativnykh-pravonarusheniyakh-ot-30-12-2001-n-195-fz-red-ot-04-07-2026-s-izm-i-dop-vstup-v-silu--b4fd4ec6.xml","Кодекс Российской Федерации об административных правонарушениях"" от 30.12.2001 N 195-ФЗ (ред. от 04.07.2026) (с изм. и доп., вступ. в силу с 07.07.2026)","code"
"Обзор изменений Федерального закона от 05_04_2013 N 44-ФЗ  О.xml","obzor-izmenenii-federalnogo-zakona-ot-05-04-2013-n-44-fz-o-kontraktnoi-sisteme-v-sfere-zakupok-tovarov-rabot-uslug-dlya-obespecheniya-g--276d34f7.xml","Обзор изменений Федерального закона от 05.04.2013 N 44-ФЗ ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд","review"
"Обзор нарушений и недостатков, выявленных Федеральным казна.xml","obzor-narushenii-i-nedostatkov-vyyavlennykh-federalnym-kaznacheistvom-v-khode-osushchestvleniya-kontrolya-v-finansovo-byudzhetnoi-sfere--e41545c4.xml","Обзор нарушений и недостатков, выявленных Федеральным казначейством в ходе осуществления контроля в финансово-бюджетной сфере в субъектах Российской Федерации, а также мер воздействия на причины нарушений и недостатков системного и систематического характера в финансово-бюджетной сфере за II полугодие 2025 года","review"
"Обзор недостатков и нарушений, выявленных Федеральным казна.xml","obzor-nedostatkov-i-narushenii-vyyavlennykh-federalnym-kaznacheistvom-v-khode-osushchestvleniya-kontrolya-v-finansovo-byudzhetnoi-sfere--bef0d103.xml","Обзор недостатков и нарушений, выявленных Федеральным казначейством в ходе осуществления контроля в финансово-бюджетной сфере в субъектах Российской Федерации в первом полугодии 2025 года, а также положительной практики, направленной на предупреждение нарушений в финансово-бюджетной сфере","review"
"Обзор результатов осуществления Федеральным казначейством к.xml","obzor-rezultatov-osushchestvleniya-federalnym-kaznacheistvom-kontrolnoi-deyatelnosti-v-finansovo-byudzhetnoi-sfere-v-otnoshenii-glavnyk--49897501.xml","Обзор результатов осуществления Федеральным казначейством контрольной деятельности в финансово-бюджетной сфере в отношении главных распорядителей средств федерального бюджета, распорядителей, получателей средств федерального бюджета и органов управления государственными внебюджетными фондами, выявленных системных и систематических нарушений и недостатков, а также мер воздействия на причины нарушений и недостатков системного и систематического характера в финансово-бюджетной сфере за II полугодие 2025 года","review"
"Обзор судебной практики Верховного Суда Российской Федераци 2026-1.xml","obzor-sudebnoi-praktiki-verkhovnogo-suda-rossiiskoi-federatsii-n-1-2026-utv-postanovleniem-prezidiuma-verkhovnogo-suda-rf-ot-25-03-2026--353c3fc0.xml","Обзор судебной практики Верховного Суда Российской Федерации N 1 (2026)"" (утв. Постановлением Президиума Верховного Суда РФ от 25.03.2026 N 5А/2026)","review"
"Обзор судебной практики Верховного Суда Российской Федераци.xml","obzor-sudebnoi-praktiki-verkhovnogo-suda-rossiiskoi-federatsii-n-3-2022-utv-prezidiumom-verkhovnogo-suda-rf-21-12-2022-red-ot-25-03-202--e84b5bd5.xml","Обзор судебной практики Верховного Суда Российской Федерации N 3 (2022)"" (утв. Президиумом Верховного Суда РФ 21.12.2022) (ред. от 25.03.2026)","review"
"Обзор судебной практики Верховного Суда Российской Федераци2.xml","obzor-sudebnoi-praktiki-verkhovnogo-suda-rossiiskoi-federatsii-n-2-2025-utv-prezidiumom-verkhovnogo-suda-rf-18-06-2025-red-ot-19-11-202--7ae2a955.xml","Обзор судебной практики Верховного Суда Российской Федерации N 2 (2025)"" (утв. Президиумом Верховного Суда РФ 18.06.2025) (ред. от 19.11.2025)","review"
"Обзор судебной практики, связанной с привлечением к админис.xml","obzor-sudebnoi-praktiki-svyazannoi-s-privlecheniem-k-administrativnoi-otvetstvennosti-za-narusheniya-antimonopolnogo-zakonodatelstva-ut--4bb378ff.xml","Обзор судебной практики, связанной с привлечением к административной ответственности за нарушения антимонопольного законодательства"" (утв. Президиумом Верховного Суда РФ 25.04.2025) (ред. от 22.12.2025)","review"
"ОК 029-2014 (КДЕС Ред_ 2)_ Общероссийский классификатор вид.xml","ok-029-2014-kdes-red-2-obshcherossiiskii-klassifikator-vidov-ekonomicheskoi-deyatelnosti-utv-prikazom-rosstandarta-ot-31-01-2014-n-14-s--ae072cec.xml","ОК 029-2014 (КДЕС Ред. 2). Общероссийский классификатор видов экономической деятельности"" (утв. Приказом Росстандарта от 31.01.2014 N 14-ст) (ред. от 14.05.2026)","classifier"
"ОК 034-2014 (КПЕС 2008)_ Общероссийский классификатор проду.xml","ok-034-2014-kpes-2008-obshcherossiiskii-klassifikator-produktsii-po-vidam-ekonomicheskoi-deyatelnosti-utv-prikazom-rosstandarta-ot-31-0--dc2109f9.xml","ОК 034-2014 (КПЕС 2008). Общероссийский классификатор продукции по видам экономической деятельности"" (утв. Приказом Росстандарта от 31.01.2014 N 14-ст) (ред. от 11.06.2026)","classifier"
"Определение Верховного Суда РФ от 03_07_2026 N 310-ЭС26-4320.xml","opredelenie-verkhovnogo-suda-rf-ot-03-07-2026-n-310-es26-4320-po-delu-n-a48-2335-2025-trebovanie-o-peresmotre-v-kassatsionnom-poryadke--d3b817a9.xml","Определение Верховного Суда РФ от 03.07.2026 N 310-ЭС26-4320 по делу N А48-2335/2025 Требование: О пересмотре в кассационном порядке судебных актов по делу о признании недействительным решения контрольного органа об отказе в согласовании заключения контракта с единственным поставщиком. Обжалуемый результат спора: Требование удовлетворено. Решение: Дело передано в Судебную коллегию по экономическим спорам ВС РФ, поскольку довод о том, что неприменение дополнительных требований, установленных Постановлением П","court-or-authority-decision"
"Определение Седьмого кассационного суда общей юрисдикции от.xml","opredelenie-sedmogo-kassatsionnogo-suda-obshchei-yurisdiktsii-ot-10-06-2026-n-88-8444-2026-uid-66rs0044-01-2023-005497-11-kategoriya-sp--12ad6325.xml","Определение Седьмого кассационного суда общей юрисдикции от 10.06.2026 N 88-8444/2026 (УИД 66RS0044-01-2023-005497-11) Категория спора: Подряд. Требования заказчика: О взыскании штрафа. Обстоятельства: Истец указал на ненадлежащее исполнение ответчиком обязательств по государственному контракту. Решение: Отказано.","court-or-authority-decision"
"Письмо  Минстроя России от 07_05_2026 N 27735-АЛ 02  Об уст.xml","pismo-minstroya-rossii-ot-07-05-2026-n-27735-al-02-ob-ustanovlenii-trebovanii-o-chlenstve-v-samoreguliruemoi-organizatsii--06cf65ce.xml","<Письмо> Минстроя России от 07.05.2026 N 27735-АЛ/02 <Об установлении требований о членстве в саморегулируемой организации>","letter"
